referencia;titulo_anuncio;estado_casa;ubicacion;año_construccion;nro_habitaciones;nro_baño;m2_terreno;nro_plantas;m2_edificados;nro_garajes;precio_venta
TB1922;COLINAS DEL URUBO SECTOR LA CAÑADA;Buen estado;COND. LA CAÑADA , Urubó, Santa Cruz;2020;4;3;750 m2;1;400 m2;3;U$S 450.000
HD3B7B;Pre Venta HERMOSA CASA ( Urubó);En construcción;Condominio Santa Cruz la Vieja , Urubó, Santa Cruz;2022;3;3;453 m2;2;378 m2;3;U$S 339.000
U5C884;hermosa casa en venta;Buen estado;Beni 2do anillo, Norte, Santa Cruz;2014;5;3;605 m2;2;615 m2;3;U$S 450.000
5AC75;HERMOSA CASA NORTE;Excelente estado;KM 11 NORTE, Norte, Santa Cruz;2012;5;3;1.100 m2;2;517 m2;2;U$S 280.000
B63376;CASA EN VENTA - URUBO;Excelente estado;URUBO , Urubó, Santa Cruz;2012;4;3;690 m2;3;270 m2;3;U$S 267.000
T31B9B;Hermosa y Amplia Casa en Venta ZONA Canal Isuto;Reciclada;CANAL ISUTO 4to. Anillo Villa Brigida , Norte, Santa Cruz;2015;3;3;400 m2;2;350 m2;3;U$S 320.000
T95C17;Virgen de Cotoca 4to. Anillo CASA EN VENTA;Buen estado;Av. Virgen de Cotoca 4to Anillo, Este, Santa Cruz;2000;5;3;300 m2;2;452 m2;3;U$S 370.000
74AF1;CHALET EN LAS PALMITAS;Buen estado;B/LAS PALMITAS, Sur, Santa Cruz;¡Preguntale!;3;2;300 m2;1;120 m2;1;U$S 86.000
18520;CHALET EN ZONA DOBLE VIA A LA GUARDIA. MODERNO;A estrenar;Radial 17 Y 1/2, Doble via la guardia, Santa Cruz;2019;3;2;280 m2;1;120 m2;2;U$S 79.000
4D441;CASA EN CONDOMINIOO EN ZONA SUR;A estrenar;6to y 7mo sur, Sur, Santa Cruz;2018;4;3;300 m2;2;200 m2;3;U$S 96.000
5F09C;CASAS CHALETS A ESTRENAR;A estrenar;AV MONTECRISTO 9NO ANILLO, Este, Santa Cruz;2019;3;2;300 m2;1;85 m2;1;U$S 63.500
5697;CASA DENTRO DE CONDOMINIO;A estrenar;7MO ANILLO ZONA SUR, Sur, Santa Cruz;2018;4;3;260 m2;2;150 m2;2;U$S 96.000
E2391;CASAS MINIMALISTAS ZONA OESTE;A estrenar;R17 7MO ANILLO, Oeste, Santa Cruz;2019;3;2;240 m2;1;110 m2;1;U$S 79.000
719B3;CASA SOBRE AVENIDA;A estrenar;6TO ANILLO EXTERNO ZONA SUR, Sur, Santa Cruz;¡Preguntale!;3;3;210 m2;2;150 m2;1;U$S 100.000
CA143;LINDO DEPARTAMENTO EN LAS PALMAS;Excelente estado;LAS PALMAS, Oeste, Santa Cruz;¡Preguntale!;3;3;200 m2;1;200 m2;2;U$S 221.000
68792;EL CASADO,DEPARTAMENTO QUIERE EN 2DO ANILLO , RESIDENCIAS SUR;A estrenar;Sur, Santa Cruz;2018;2;2;79 m2;1;79 m2;¡Preguntale!;U$S 72.000
2C2E9;CASAS TIPO CHALET;A estrenar;8VO ANILLO BARRIO EL FUERTE, Sur, Santa Cruz;2018;2;1;400 m2;1;85 m2;¡Preguntale!;U$S 70.000
E96D9;casa para empresa en EXCELENTE UBICACION CRUCEÑA;Excelente estado;AV PARAGUA, Este, Santa Cruz;2015;5;3;1.000 m2;1;893 m2;3;U$S 430.000
F93BE;CASA RESIDENCIAL EN ZONA NORTE;Excelente estado;2do anillo zona del Cristo, Norte, Santa Cruz;¡Preguntale!;4;3;360 m2;2;300 m2;2;U$S 365.000
9791F;VIVIENDA FAMILIAR;Excelente estado;PLAN 3000 MERCADO LOS POCITOS, Este, Santa Cruz;¡Preguntale!;5;3;400 m2;2;200 m2;3;U$S 170.000
H93546;I-201 245 CASA EN URBANIZACIÓN PALOS VERDES;Excelente estado;Norte, Santa Cruz;¡Preguntale!;3;3;210 m2;2;220 m2;2;U$S 145.000
HDE30F;Amplia Casa en Esquina - Condominio Fontana Riviera 1;Excelente estado;Km 8 y medio entre Av. G77 y Avenida Internacional, Norte, Santa Cruz;2018;4;3;371 m2;1;149 m2;2;U$S 136.000
P9BD1F;En CONDOMINIO TERRANOVA en 7mo. anillo Norte vendo casa;Excelente estado;Septimo anillo Norte, Remanso, Santa Cruz;¡Preguntale!;3;3;180 m2;2;250 m2;2;U$S 141.000
A85C08;En Venta! Hermosas Casas gemelas en Zona Norte;A estrenar;Av. Alemana 5to Anillo, Norte, Santa Cruz;2022;4;3;180 m2;2;200 m2;2;U$S 139.500
Y34252;DEPARTAMENTO EN VENTA;A estrenar;Santa Cruz, Av. Santos Dumont, Sur, Santa Cruz;2022;1;1;45 m2;1;45 m2;1;U$S 34.000
