index,referencia,titulo_anuncio,estado_casa,departamento,ubicacion,nro_habitaciones,nro_baño,m2_terreno,nro_plantas,m2_edificados,nro_garajes,precio_venta,antiguedad
0,E457CA,En venta casa de Lujo en Las Palmas,Excelente estado,Santa Cruz,Las Palmas_ Las palmas_ Santa Cruz,4.0,3,600.0,1.0,650.0,2.0,850000.0,
1,Q67923,CASA EN VENTA EN LAS PALMAS,Excelente estado,Santa Cruz,ENTRE 3ER Y 4TO ANILLO C/ BAHIA CACERES Y CAPARUS _ Las palmas_ Santa Cruz,4.0,3,726.0,1.0,,2.0,685000.0,
2,WC49A9,"CASA EN VENTA, IRPAVI",Buen estado,La Paz,CALLE 18 Y OVANDO_ Irpavi_ La Paz,3.0,3,643.0,1.0,643.0,3.0,449000.0,
3,Z7FD7E,Casa en venta sobre Av. Canal Isuto,Excelente estado,Santa Cruz,sobre Av. Canal Isuto entre 4to y 5to anillo_ Norte_ Santa Cruz,5.0,2,194.0,1.0,194.0,,139000.0,
4,OF956B,"casa a estrenar, 4 dormitorios, Condominio Los Parques 3, Urubo",A estrenar,Santa Cruz,condominio Los parques 3_ Urubó_ Santa Cruz,4.0,3,158.0,2.0,158.0,1.0,149000.0,
5,EC6E32,CASA EN VENTA EN EL BARRIO URBARI,Excelente estado,Santa Cruz,2DO ANILLO ENTRE C/ BARASEA Y ARUMA_ Urbari_ Santa Cruz,4.0,3,586.0,1.0,383.0,2.0,405000.0,
6,NF40A2,ESPECTACULAR CASA EN EL URUBÓ.!!,Excelente estado,Santa Cruz,Buen Retiro_ Urubó_ Santa Cruz,4.0,3,25000.0,1.0,824.0,3.0,1750000.0,7.0
7,M5D615,EN VENTA CASA CONDOMINIO BARCELO,Excelente estado,Santa Cruz,Av. Banzer Km 9_ Remanso_ Santa Cruz,5.0,3,422.0,2.0,303.0,2.0,210000.0,
8,ZE1EF5,PRECIOSOS TOWNHOUSE DE LUJO EN VENTA CONDOMINIO “JARDINES DEL NORTE VI”,A estrenar,Santa Cruz,Av. Banzer y 8vo. Anillo._ Remanso_ Santa Cruz,3.0,3,210.0,1.0,210.0,2.0,206000.0,
9,M178A7,CASA EN VENTA ZONA NORTE,Excelente estado,Santa Cruz,Av. Cristo Redentor_ Cond. Sevilla Norte II_ Norte_ Santa Cruz,3.0,3,304.0,1.0,116.0,1.0,99000.0,14.0
10,J6CCCF,CASAS PRE VENTA ZONA NORTE,En construcción,Santa Cruz,AV ALEMANA 9° ANILLO_ Norte_ Santa Cruz,3.0,3,255.0,2.0,225.0,2.0,156500.0,1.0
11,ZA4673,EN VENTA A ESTRENAR HERMOSA CASA con PISCINA Condominio Ciudad Jardín,A estrenar,Santa Cruz,6to anillo_ Norte_ Santa Cruz,3.0,3,414.0,2.0,350.0,2.0,370000.0,1.0
12,M8FDB1,Casa en Venta Barrio Las Palmas,Excelente estado,Santa Cruz,Barrio Las Palmas_ Oeste_ Santa Cruz,3.0,3,296.0,2.0,165.0,2.0,265000.0,13.0
13,LEDD47,Casa en condominio Almería Sumuqué. Av. Banzer Km 8,Excelente estado,Santa Cruz,Avenida Banzer Km 8_ Norte_ Santa Cruz,3.0,3,635.0,2.0,431.0,3.0,750000.0,4.0
14,LBE85C,Casa de lujo en venta Totalmente amoblada. Condominio El Paraíso,Excelente estado,Santa Cruz,Colinas Urubo El Paraiso_ Urubó_ Santa Cruz,5.0,3,2085.0,2.0,850.0,3.0,1200000.0,3.0
15,C9C3F9,CASA DE LUJO EN VENTA ZONA SAGUAPAC SEGUNDO ANILLO,Excelente estado,Santa Cruz,2do anillo Barrio Braniff_ Sur_ Santa Cruz,5.0,3,1054.0,1.0,560.0,3.0,450000.0,6.0
16,Z81AC9,CASA EN VENTA Y/O ALQUILER PARA EMPRESA,Excelente estado,Santa Cruz,AV. SANTA CRUZ (2do. ANILLO) Y AV. BRASIL_ Este_ Santa Cruz,3.0,3,720.0,1.0,567.0,3.0,600000.0,11.0
17,XAAE36,CASA DE LUJO EN VENTA BARRIO URBARI,Excelente estado,Santa Cruz,Calle Aruma_ Urbari_ Santa Cruz,3.0,3,557.0,2.0,327.0,3.0,400000.0,5.0
18,A38C94,En venta casa en el Condominio Ciudad Jardín,Excelente estado,Santa Cruz,Av. Banzer 6to anillo_ Norte_ Santa Cruz,3.0,3,417.0,1.0,220.0,2.0,249000.0,
19,V44B14,Casa en venta en Remanso,Excelente estado,Santa Cruz,Zona Remanso _ Remanso_ Santa Cruz,3.0,3,393.0,1.0,143.0,2.0,168000.0,
20,F5A9ED,CASA EN VENTA - Zona Doble Vía La Guardia,Sin Definir,Santa Cruz,Av. Perimetral - Barrio Los Bosques _ Doble via la guardia_ Santa Cruz,2.0,1,746.0,1.0,271.0,3.0,265000.0,23.0
21,V1E5F3,Casa en venta en Condominio la casona,Excelente estado,Santa Cruz,Av. virgen de cotoca _ Este_ Santa Cruz,3.0,3,208.0,1.0,489.0,1.0,120000.0,
22,P780DD,CASA EN VENTA VALLE SANCHEZ,Excelente estado,Santa Cruz,Valle Sanchez_ Norte_ Santa Cruz,3.0,2,275.0,1.0,100.0,,55000.0,
23,SAA107,Casa en Venta Barrio Hamacas,Excelente estado,Santa Cruz,Av. Beni entre 3er y 4to anillo _ Hamacas_ Santa Cruz,3.0,3,325.0,1.0,210.0,2.0,268000.0,
24,L3E19E,SEVILLA LOS JARDINES - CHURRASQUERA,Excelente estado,Santa Cruz,COND. LOS JARDINES_ KM 10 AL NORTE_ Norte_ Santa Cruz,3.0,2,220.0,1.0,130.0,2.0,135000.0,4.0
25,W66260,EN SEVILLA REAL - 3 DORM + GALERIA,A estrenar,Santa Cruz,KM 9 AL NORTE_ AV INTERNACIONAL_ Norte_ Santa Cruz,3.0,2,266.0,1.0,153.0,2.0,126000.0,3.0
26,W439D4,"CASA CENTRICA CON LOCAL COMERCIAL, AV VIEDMA",Excelente estado,Santa Cruz,CALLE BALLIVIAN_ A 2 CUADRAS DE LA AV. VIEDMA_ Centro_ Santa Cruz,3.0,2,351.0,1.0,220.0,3.0,275000.0,5.0
27,EEF282,CASA ZONA SUD OESTE,A estrenar,Santa Cruz,Entre Av. Moscu y Olímpica 8vo. Anillo_ Oeste_ Santa Cruz,3.0,2,176.0,1.0,105.0,2.0,69000.0,1.0
28,N45301,CASA EN VENTA ZONA NORTE,Excelente estado,Santa Cruz,Entre Av. Cristo Redentor y Prolongacion Av. Beni entre 8vo. y 9no. Anillo_ Norte_ Santa Cruz,3.0,3,310.0,1.0,166.0,2.0,120000.0,12.0
29,G3CB3B,CASAS DE 3 DORMITORIOS A ESTRENAR,A estrenar,Santa Cruz,8VO anillo entre Av. Beni y Av. Alemana _ Norte_ Santa Cruz,3.0,3,190.0,1.0,155.0,2.0,107000.0,1.0
30,GDBFA3,HERMOSA CASA EN EL URUBO,A estrenar,Santa Cruz,Jardines del urubo II_ Urubó_ Santa Cruz,5.0,3,800.0,1.0,530.0,3.0,595000.0,
31,AFAE21,Inmueble en venta sobre doble vía casi 4to anillo,Excelente estado,Santa Cruz,Doble vía la guardia 4to anillo_ Oeste_ Santa Cruz,4.0,3,2030.0,2.0,1.0,3.0,1950000.0,13.0
32,V4B1D8,Casa de lujo totalmente amoblada La Hacienda del Urubo,Excelente estado,Santa Cruz,Hacienda del Urubo_ Urubó_ Santa Cruz,4.0,3,732.0,2.0,565.0,3.0,850000.0,2.0
33,PE2873,En Urubo Green Condominio bella casa en venta.,Excelente estado,Santa Cruz,Urubo Green_ Urubó_ Santa Cruz,3.0,3,754.0,2.0,524.0,3.0,580000.0,2.0
34,U7C10E,CASA NUEVA CONDOMINIO LAS BRISAS,Excelente estado,Santa Cruz,Av. Banzer Km. 9 _ Norte_ Santa Cruz,4.0,3,453.0,2.0,410.0,2.0,350000.0,2.0
35,OE0EA6,Casa de lujo en venta zona sur.,Excelente estado,Santa Cruz,Av. Francisco Mora y Av. San Aurelio y 2do anillo_ Sur_ Santa Cruz,5.0,3,370.0,3.0,437.0,3.0,550000.0,3.0
36,BE4C5D,Hermosa casa en el “TRIÁNGULO DE ORO” Equipetrol Norte,Excelente estado,Santa Cruz,Equipetrol Norte_ Norte_ Santa Cruz,4.0,3,314.0,2.0,247.0,2.0,435000.0,5.0
37,N7C48D,Hermosa casa Barrio Las Palmas sobre 4to anillo en venta.,Excelente estado,Santa Cruz,Barrio Las Palmas 4to anillo_ Oeste_ Santa Cruz,4.0,3,886.0,2.0,448.0,2.0,595000.0,13.0
38,E74F1E,Tu casa nueva con vista a los jardines del condominio!,En construcción,Santa Cruz,Octavo anillo entre Av. Virgen de Cotoca y Av. Montecristo_ Este_ Santa Cruz,3.0,3,260.0,1.0,135.0,1.0,85000.0,0.0
39,XE68C4,Tu casa nueva con vista a los jardines del condominio!,En construcción,Santa Cruz,Octavo anillo entre Av. Virgen de Cotoca y Av. Montecristo_ Este_ Santa Cruz,3.0,3,260.0,2.0,135.0,1.0,85000.0,0.0
40,F9E08D,"Casa UNO en condominio, en pre venta",En construcción,Santa Cruz,Octavo anillo entre Av. Virgen de Cotoca y Av. Montecristo_ Este_ Santa Cruz,3.0,3,260.0,2.0,135.0,2.0,85000.0,1.0
41,N38CA1,"Tu casa nueva en 360m2, en zona noreste",A estrenar,Santa Cruz,Octavo Anillo_ Avenida Montecristo y Avenida Internacional_ Este_ Santa Cruz,3.0,2,360.0,1.0,126.0,3.0,94000.0,2.0
42,B8EC3E,"Casa a estrenar, con 360m2, zona noreste",A estrenar,Santa Cruz,Octavo Anillo (Av. Internacional) y Av. Montecristo_ frente al Hospital Municipal de Segundo Nivel_ Este_ Santa Cruz,3.0,2,360.0,1.0,126.0,2.0,94000.0,2.0
43,BF5EF3,En condominio $us 88.000 (terreno amplio),A estrenar,Santa Cruz,Av. Virgen de Cotoca_ octavo anillo_ _ Este_ Santa Cruz,3.0,2,451.0,1.0,112.0,2.0,88000.0,7.0
44,L7E36A,Hermosa casa en Tiquipaya,Excelente estado,Cochabamba,Tiquipaya_ Cochabamba,4.0,3,512.0,2.0,210.0,3.0,190000.0,5.0
45,W3A1C5,Propietario vende de ocasion muy por debajo del avaluo,A estrenar,Santa Cruz,Cond. Casa campo_ Remanso_ Santa Cruz,3.0,3,230.0,2.0,213.0,3.0,134900.0,1.0
46,G41DD2,DE OCASIÓN en EL ALTO! Remate de Hermosa Casa de 3 Pisos,Excelente estado,La Paz,Mz. K Calle 5 Patio 33 Viviendas Mercado El Carmen_ Rio Seco_ El alto,5.0,2,,3.0,273.0,1.0,110000.0,18.0
47,XD3B9E,Inmueble con local comercial en el 2do anillo,Buen estado,Santa Cruz,Av. Cristobal de Mendoza 265_ Norte_ Santa Cruz,,3,998.0,1.0,661.0,3.0,1300000.0,
48,D6015E,Hermosa Casa en Ciudad Jardin,Excelente estado,Santa Cruz,Sexto anillo y Av. Banzer _ Norte_ Santa Cruz,4.0,3,414.0,2.0,350.0,3.0,360000.0,
49,X8EE8C,Casa&Estilo Norte Verde,A estrenar,Santa Cruz,urbanización Norte Verde_ km 9_5_ Norte_ Santa Cruz,3.0,3,300.0,1.0,124.0,2.0,80000.0,1.0
50,N3CDBE,CASA EN CALLE HERMANOS MANCHEGO,Buen estado,La Paz,Calle Hermanos Manchego. Entre calle Pedro Salazar y Avenida Arce_ San Jorge_ La Paz,,3,350.0,2.0,294.0,1.0,410000.0,53.0
51,I19632,"Casa en el mejor clima de La Paz, Carreras lado huajchilla.",A estrenar,La Paz,Hermosa casa multifamiliar_ centro carreras_ rio abajo._ Mecapaca_ La Paz,5.0,3,,3.0,660.0,3.0,165000.0,1.0
52,P96E43,HERMOSA CASA VENTA Av VILLAZON KM3,Excelente estado,Cochabamba,AV VILLAZON KM3 ENTRANDO A LA AV CHAPARE CERCANO AL HIPERMAXI _ Sacaba_ Cochabamba,5.0,3,195.0,3.0,297.0,3.0,160000.0,3.0
53,CC3383,Calle Cañada Strongest entre calles Canadá y Platanillos,Excelente estado,Santa Cruz,Calle Cañada Strongest 355 entre calles Canadá y Platanillos _ Centro_ Santa Cruz,4.0,3,222.0,1.0,280.0,2.0,249000.0,10.0
54,L788B1,Zona EL Palmar - Barrio San Francisco Sur - 7mo anillo Avenida Bolivia,Sin Definir,Santa Cruz,Sur_ Santa Cruz,3.0,2,211.0,1.0,115.0,1.0,69900.0,1.0
55,B9A47F,Casa En Venta,Buen estado,Santa Cruz,Avenida 4 de Octubre_ Barrio Ñuflo de Chávez_ Sur_ Santa Cruz,4.0,3,300.0,2.0,185.0,2.0,87000.0,5.0
56,ZB634F,"* HERMOSA CASA, 4 DORM.-URUBO * CONDOMINIO SANTA CRUZ DE LA COLINA",Excelente estado,Santa Cruz,Condominio Santa Cruz de la Colina Mza 52 Casa 8A_ Urubó_ Santa Cruz,4.0,3,364.0,2.0,325.0,3.0,239000.0,5.0
57,BDEDF9,"Gran Casa DE UN PISO, PUEDE SER EDIFICIO 11 pisos o COMERCIAL GRAN PARQUEADERO",Excelente estado,Cochabamba,Muyurina_ Cochabamba,4.0,2,651.0,1.0,236.0,3.0,570000.0,
58,L35003,"CONDOMINIO MYKONOS, en una ubicacion estrategica, con casas amplias, frescas.",A estrenar,Santa Cruz,Regimiento Lanza_ Esq. San Mateo Nr. 60_ Sur_ Santa Cruz,2.0,3,103.0,2.0,158.0,2.0,134990.0,2.0
59,F73EC7,Casa Urb. Adelita Km 15 Doble Via la Guardia,A estrenar,Santa Cruz,Doble Via la Guardia Km 15. Urbanizacion Adelita_ Sur_ Santa Cruz,2.0,1,360.0,1.0,72.0,3.0,40000.0,1.0
60,P95F6E,"Casa en Condominio Le Parc la Costanera, Radial 26 entre 5to y 6to anillo",Excelente estado,Santa Cruz,Condominio Le Parc la Costanera_ Radial 26 entre 5to y 6to anillo_ cerca de la avenida Cristo Redentor y barrio Equipetrol_ Norte_ Santa Cruz,4.0,3,300.0,2.0,300.0,2.0,257000.0,2.0
61,IFA6F3,Av. Santos Dumont y Av. Tomás de Lezo,Sin Definir,Santa Cruz,Sur_ Santa Cruz,5.0,3,548.0,,543.0,4.0,379000.0,2.0
62,NEB355,Achumani - Cóndores Lakota,Excelente estado,La Paz,Lomas de Achumani - Cóndores Lakota_ Achumani_ La Paz,3.0,3,351.0,2.0,254.0,2.0,209000.0,10.0
63,GB0245,CASA EN BUENA UBICACIÓN AV ALEMANIA 3ER EXTERNO,Buen estado,Santa Cruz,A UNA CUADRA DE LA AV ALEMANIA Y 3ERO EXTERNO_ Norte_ Santa Cruz,5.0,3,300.0,1.0,195.0,1.0,220000.0,
64,H4346C,Condominio Colinas Verdes Lomas de Achumani,Sin Definir,La Paz,Achumani_ La Paz,3.0,3,322.0,2.0,255.0,2.0,285000.0,12.0
65,D78FE1,CASA EN VENTA A ESTRENAR EN COND. BRISAS DEL NORTE 2,A estrenar,Santa Cruz,Av. Cristo Redentor Km 8_5 _ Norte_ Santa Cruz,3.0,3,220.0,2.0,190.0,2.0,135000.0,2.0
66,T2E17D,Hermosa Casa en Venta - Colinas del Urubó II,Excelente estado,Santa Cruz,Colinas del Urubó II- San Javierito calle 17B_ Urubó_ Santa Cruz,4.0,3,1597.0,1.0,501.0,1.0,670000.0,9.0
67,T78417,Condominio Bella Vista,Excelente estado,Santa Cruz,Condominio Bella Vista. Carretera Cotoca Km 4_ Este_ Santa Cruz,4.0,3,450.0,2.0,386.0,1.0,229000.0,17.0
68,B1ADBE,DUEÑO VENDE HERMOSA CASA DE CAMPO EN VINTO - COCHABAMBA,Excelente estado,Cochabamba,VINTO Km 18 1/2 a 3 cuadras de la Carretera - Lado Norte_ Quillacollo_ Cochabamba,4.0,3,3425.0,2.0,379.0,3.0,480000.0,18.0
69,QE0F16,Casa en venta condominio cerrado Virgen de Guadalupe,Excelente estado,Santa Cruz,Av.santos Dumont y Séptimo anillo_ Oeste_ Santa Cruz,3.0,3,233.0,1.0,110.0,1.0,77000.0,
70,E682C2,"Av. Banzer, entre 3er y 4to anillo",Sin Definir,Santa Cruz,Norte_ Santa Cruz,4.0,3,411.0,,239.0,2.0,280000.0,18.0
71,W75EAD,CASA EN VENTA EN EXCELENTE ZONA CENTRICA SANTA CRUZ - BOLIVIA,Buen estado,Santa Cruz,Barrio Santa Rosita Calle Pulquina n°542_ Oeste_ Santa Cruz,5.0,3,292500.0,2.0,309500.0,,150000.0,28.0
72,Y35E85,Vendo Casa de 4 dormitorios en Condominio Cerrado Zona Este,Excelente estado,Santa Cruz,Carretera Cotoca Km 8 - Condominio Villa Borghese_ Este_ Santa Cruz,4.0,3,240.0,2.0,320.0,2.0,189000.0,
74,V9F321,Remanso 3,Excelente estado,Santa Cruz,Remanso_ Santa Cruz,3.0,3,171.0,2.0,148.0,2.0,137000.0,8.0
75,VF788B,Linda Casa Venta 282.000.$.. Alquiler 1600$ Cel. 70975444,Excelente estado,Santa Cruz,Casa Céntrica. Av. Centenario 3 y 4 anillo C/Susano Azogue N 3535.Cel.*** Costo 287.900$ Impuesto al Dia. _ Oeste_ Santa Cruz,5.0,3,360.0,3.0,420.0,2.0,282000.0,13.0
76,SD4824,CASA SOBRE AVENIDA DE 3 DPTOS INDEPENDIENTES ZONA SUR,Excelente estado,Santa Cruz,Radial 16_ entre 3er y 4to anillo_ Sur_ Santa Cruz,5.0,3,887.0,2.0,887.0,3.0,350000.0,
77,W628B6,"Irpavi, Av el Vergel teléfono: 78930013",Excelente estado,La Paz,Irpavi_ Av el Vergel_ Irpavi_ La Paz,4.0,3,537.0,3.0,505.0,3.0,515000.0,11.0
78,M6E39A,Casa En Venta a Estrenar 9no Anillo Plan 3000 Av. Arroyito,A estrenar,Santa Cruz,Plan 3000 Av. Arroyito Barrio Puntarena Calle 6_ Ciudadelas_ Santa Cruz,2.0,1,275.0,1.0,81.0,1.0,54000.0,3.0
79,FC219B,"Edificio en venta, Barrio Urbari, entre 2do y 3er anillo",Excelente estado,Santa Cruz,Barrio Urbari_ entre 2do y 3er anillo_ Urbari_ Santa Cruz,5.0,3,300.0,3.0,573.0,3.0,420000.0,5.0
80,C31C7D,Calle Molles 9c<br />Urbanización Lomas de Aranjues,Excelente estado,Cochabamba,Calle Molles 9c<br />Urbanización Lomas de Aranjues_ Queru Queru_ Cochabamba,4.0,3,539.0,3.0,384.0,2.0,,
81,E9CF97,Casa 4 dormitorios Condominio Villa Cantabria – Sud este colegio Tito’s Place,Excelente estado,Cochabamba,Tiquipaya_ Cochabamba,4.0,3,226.0,3.0,280.0,3.0,199000.0,7.0
82,MD1865,Casa de 3 dormitorios en doble vía la guardia,Excelente estado,Santa Cruz,urbanizacion los piyos_ Sur_ Santa Cruz,3.0,1,360.0,1.0,17.0,2.0,40000.0,5.0
83,P43DC9,casa en venta o permuta por vehiculo,Excelente estado,Santa Cruz,av virgen de lujan bation_ Este_ Santa Cruz,1.0,1,360.0,1.0,80.0,3.0,38000.0,4.0
84,P3EDE9,"ESPECTACULAR CASA EN VENTA, AMPLIA Y EN EXCELENTE UBICACION. ZONA AV. LOS CUSIS",Excelente estado,Santa Cruz,AV. LOS CUSIS 2070 ENTRE ALEMANA Y BENI_ DIAGONAL COL. BRITANICO._ Norte_ Santa Cruz,5.0,3,683.0,2.0,480.0,3.0,700000.0,
85,XE5A00,Casa en Venta entre 2do. y 3er. anillo de la Av. Busch,Buen estado,Santa Cruz,Av. Busch entre 2do. y 3er. anillo_ Oeste_ Santa Cruz,5.0,3,240.0,2.0,240.0,1.0,260000.0,
86,Z41324,Casa de 4 dormitorios en pampa de la Isla,Buen estado,Santa Cruz,virgen de cotoca_ Este_ Santa Cruz,4.0,3,372.0,1.0,360.0,1.0,135000.0,
87,T30577,AMPLIA CASA EN VENTA ZONA NORTE,Buen estado,Santa Cruz,Avenida Alemana_ entre 2do y 3er anillo _ Norte_ Santa Cruz,5.0,3,900.0,2.0,476.0,3.0,498000.0,33.0
88,S759F4,Oferto Hermosa Casa en Urubo,A estrenar,Santa Cruz,Condominio Santa Cruz de la Colina_ Urubó_ Santa Cruz,4.0,3,373.0,2.0,300.0,3.0,225000.0,3.0
89,G4F567,"C/ Estrella Nº 360, Entre 2do y 3er anillo de la Av/Pirai y grigota",Sin Definir,Santa Cruz,Urbari_ Santa Cruz,5.0,3,415.0,,409.0,2.0,330000.0,45.0
90,H284F1,Casa en Venta para alojamiento oficina o restaurante,Excelente estado,Santa Cruz,3 pasos al frente y radial 10_ 1 cuadra antes del 4to anillo. B/ estación argentina._ Este_ Santa Cruz,5.0,3,460.0,2.0,550.0,3.0,248000.0,8.0
91,O3C9E6,Hermosa Casa en Venta ubicada en el Condominio Mirage - Urubó,A estrenar,Santa Cruz,Condomio Mirage _ Urubó_ Santa Cruz,3.0,3,379.0,2.0,150.0,2.0,149500.0,1.0
92,I6572D,Chalet en Urbanización España,Buen estado,Santa Cruz,Av. Pedro Casals_ Sur_ Santa Cruz,4.0,3,240.0,1.0,160.0,2.0,115000.0,16.0
93,G32D00,EN VENTA CASA EN TIQUIPAYA,Excelente estado,Cochabamba,Tiquipaya_ Cochabamba,4.0,3,1256.0,2.0,240.0,1.0,250000.0,
94,LF9BCB,Bolognia,Buen estado,La Paz,Bolognia_ La Paz,4.0,2,483.0,2.0,264.0,1.0,280000.0,26.0
95,H2893A,Hermosa casa de 3 plantas en venta,Buen estado,Santa Cruz,Norte_ Santa Cruz,5.0,3,90.0,3.0,367.0,2.0,135000.0,2.0
96,E695A4,satelite norte ...warnes,Sin Definir,Santa Cruz,Ciudadelas_ Santa Cruz,2.0,1,300.0,,64.0,8.0,21000.0,4.0
97,Y78073,"6to anillo, Norte, Condominio Ciudad Jardín",Buen estado,Santa Cruz,Norte_ Santa Cruz,3.0,3,308.0,2.0,272.0,2.0,220000.0,
98,PDEBE0,CASA en OFERTA de 5 dormitorios en Riberalta (Beni) en zona central,Excelente estado,Otro,Avenida 25 de Marzo_ Barrio Villa Camino #1148_ Riberalta_ Riberalta,5.0,3,225.0,1.0,144.0,2.0,60000.0,7.0
99,R9200,Casa de lujo en el Urubó,Excelente estado,Santa Cruz,urubo_ Urubó_ Santa Cruz,5.0,3,10952.0,1.0,2442.0,3.0,4000000.0,15.0
100,UB293,ULTIMO TOWNHOUSE EN CONDOMINIO TROJES DEL ALBA,A estrenar,Cochabamba,Tiquipaya_ Cochabamba,5.0,3,162.0,3.0,216.0,2.0,189000.0,4.0
101,NB257,Inscrito en derechos reales,Buen estado,Santa Cruz,Km13 Doble vía a la Guardia / Condominio Club Campestre _ Sur_ Santa Cruz,5.0,3,515.0,3.0,350.0,1.0,205000.0,4.0
102,N97BD,HERMOSA CASA DE CAMPO CON OPORTUNIDAD DE NEGOCIO UBICADA EN TIQUIPAYA.,Excelente estado,Cochabamba,Calle Cochabamba camino a Apote_ Tiquipaya - Cochabamba_ Tiquipaya_ Cochabamba,4.0,3,7021.0,3.0,854.0,3.0,1400000.0,30.0
103,ICBBB,Av. Dorvigni y Av. Segunda,Sin Definir,Cochabamba,Villa Busch_ Cochabamba,4.0,3,310.0,,420.0,2.0,295000.0,5.0
104,NCE2E,"LUJOSA RESIDENICIA EN URBANIZACIÓN ""EL BOSQUE""",Excelente estado,Cochabamba,"AV. CENTENARIO. URBANIZACIÓN ""EL BOSQUE""_ Condebamba_ Cochabamba",4.0,3,1000.0,2.0,800.0,3.0,790000.0,4.0
105,Q8024,CASA EN VENTA IDEAL PARA NEGOCIO,Excelente estado,Santa Cruz,Av. Coronado entre 3er y 4to anillo_ Este_ Santa Cruz,5.0,3,828.0,2.0,570.0,3.0,450000.0,9.0
106,NEAB8,LUJOSA CASA MINIMALISTA EN VENTA URBANIZACION EL BOSQUE SUR,Excelente estado,Cochabamba,Av. Centenario (Urbanización El Bosque Sur)_ Condebamba_ Cochabamba,4.0,3,1000.0,2.0,503.0,3.0,650000.0,11.0
107,I07E2,"Entre 2do y 3er anillo, entre Avenida San Pablo y Virgen de Cotoca, Calle Curumbá.",Sin Definir,Santa Cruz,Este_ Santa Cruz,5.0,3,455.0,,340.0,1.0,290000.0,3.0
108,M0E55,"Carretera al norte, zona Valle Sanchez, a solo una cuadra de la plaza principal de Valle Sanchez",Sin Definir,Santa Cruz,Remanso_ Santa Cruz,3.0,3,241.0,,128.0,2.0,70000.0,2.0
109,TDB4A,CASA EN VENTA EN 1Er. ANILLO,Buen estado,Santa Cruz,Av. LANDIVAR CALLE FRANCISCO JORDAN _ Oeste_ Santa Cruz,5.0,3,602.0,1.0,279.0,3.0,270000.0,
110,X40F7,*Espectacular negocio: Casa* a 3 cuadras de los ferreteros de la Av Brasil,A estrenar,Santa Cruz,Entre 2do y 3er anillo_ entre Avenida San Pablo y Virgen de Cotoca_ Calle Curumbá. _ Este_ Santa Cruz,5.0,3,455.0,2.0,340.0,1.0,290000.0,3.0
111,Q1928,Calle La Paz 516,Sin Definir,Santa Cruz,Centro_ Santa Cruz,4.0,3,236.0,,275.0,1.0,241000.0,32.0
112,K4B6F,HERMOSAS CASAS MINIMALISTAS EN PRE VENTA - URBANIZACIÓN ZAGALETA,A estrenar,Cochabamba,Zona Puntiti - Sacaba (a 1 cuadra de Urb. Bella Vista y 1 cuadra de la Av. Circunvalación)_ Sacaba_ Cochabamba,4.0,3,202.0,2.0,190.0,1.0,155555.0,3.0
113,Y9E02,Hermosa Casa en Venta Urbanización El Bosque Sur,Excelente estado,Cochabamba,Av. Centenario (Urbanización El Bosque Sur)_ Condebamba_ Cochabamba,4.0,3,1000.0,2.0,574.0,3.0,750000.0,20.0
114,RAB79,a.v pirai 8vo anillo,Sin Definir,Santa Cruz,Doble via la guardia_ Santa Cruz,2.0,1,390.0,1.0,100.0,3.0,95000.0,5.0
115,JC622,HERMOSA CASA-QUINTA EN VENTA,Excelente estado,Santa Cruz,ENTRE 5 Y 6TO ANILLO RADIAL 26_ Norte_ Santa Cruz,5.0,3,27107.0,1.0,712.0,3.0,2239630.0,
116,KE4F7,Casa con dos departamentos y local,Excelente estado,Santa Cruz,Sexto anillo zona santos dumont urbanización las palmitas_ Sur_ Santa Cruz,5.0,2,270.0,1.0,182.0,1.0,88000.0,
117,VD315,"Hermosa Residencia con vistas increibles, 1200 m² terreno",Excelente estado,La Paz,Urb Escondida_ La Florida_ La Paz,4.0,3,1200.0,3.0,787.0,3.0,2290000.0,8.0
118,Q03EA,PROLONGACIÓN QUIJARRO # 12,Sin Definir,Santa Cruz,Centro_ Santa Cruz,4.0,3,640.0,1.0,505.0,1.0,470000.0,9.0
119,R2ED2,Km. 10 carretera al Norte,Buen estado,Santa Cruz,Km. 10 carretera al Norte_ Norte_ Santa Cruz,3.0,2,365.0,1.0,227.0,1.0,110000.0,
120,V6B6D,VENDO CASA Y DEPARTAMENTO EN ZONA OESTE 1ER ANILLO,Buen estado,Santa Cruz,AV. LANDIVAR CALLE F. CECILIO JORDAN No. 38 LADO SUB ESTACION DE CRE_ Centro_ Santa Cruz,3.0,3,602.0,2.0,279.0,3.0,230000.0,35.0
121,UD9D4,"Casa BENI, cerca al 2 anillo 555mtrs",Excelente estado,Santa Cruz,AV. BENI ENTRE 2DO Y 3ER ANILLO_ Norte_ Santa Cruz,5.0,3,555.0,2.0,600.0,3.0,398000.0,
122,K9F55,"CASA EN VENTA EN CONDOMINIO PRADO NORTE, KM. 8.5",Excelente estado,Santa Cruz,Cristo Redentor Km 8_ Remanso_ Santa Cruz,,2,32375.0,2.0,260.0,1.0,135000.0,
123,R11A0,Chasquipampa Calle 7 Los Lirios,Sin Definir,La Paz,Chasquipampa_ La Paz,3.0,3,240.0,,300.0,2.0,150000.0,13.0
124,J7073,c. Innominada esq. Av. Aguas Potables,A estrenar,Cochabamba,C. Innominada esq. Av. Aguas Potables_ Tiquipaya_ Cochabamba,4.0,3,270.0,3.0,250.0,2.0,135000.0,4.0
