index,referencia,titulo_anuncio,estado_casa,departamento,ubicacion,nro_habitaciones,nro_baño,m2_terreno,nro_plantas,m2_edificados,nro_garajes,precio_venta,antiguedad
949,D5191,Casa en Urbanizacion cerrada Valle de Aranjuez,Excelente estado,La Paz,Urbanizacion Valle de Aranjuez_ Aranjuez_ La Paz,5.0,3,1040.0,2.0,620.0,3.0,890000.0,9.0
950,58747,Casa en Condominio Privado Sevilla Los Jardines,A estrenar,Santa Cruz,Carretera al Norte Km. 10_ Condominio Privado Sevilla Los Jardines_ Calle Los Gladiolos Nro. 13_ Norte_ Santa Cruz,3.0,3,205.0,1.0,122.0,1.0,92000.0,5.0
951,C036D,Hermosa casa en venta,Buen estado,Santa Cruz,Sur_ Santa Cruz,4.0,1,360.0,,132.0,,60000.0,
952,87D45,Casa en esquina en la urbanizacion las palmitas,Buen estado,Santa Cruz,URBANIZACION LAS PALMITAS CALLE LOS PINOS #705_ Sur_ Santa Cruz,4.0,3,475.0,1.0,325.0,2.0,120000.0,
953,A1F53,CASAS EN PRE-VENTA URBANIZACIÓN MONTECRISTO ZONA ESTE,En construcción,Santa Cruz,Este_ Santa Cruz,3.0,2,240.0,1.0,114.0,2.0,62500.0,5.0
955,C4156,HERMOSA CASA CALLE MOLDES,Buen estado,Santa Cruz,Calle Moldes frente al Colegio Marista_ Centro_ Santa Cruz,3.0,2,177.0,1.0,155.0,,120000.0,
956,41E54,Casa en venta sobre avenida con local comercial,Buen estado,Santa Cruz,Zona Sur _ Zona Los Lotes _ Sur_ Santa Cruz,4.0,2,513.0,1.0,300.0,2.0,95000.0,
957,F5422,Hermosas casas a estrenar en venta carretera cotoca,A estrenar,Santa Cruz,carretera cototca _ Este_ Santa Cruz,3.0,1,300.0,1.0,105.0,2.0,55200.0,
958,E09E4,"Hermosas viviendas en Urbanización San Jorge, Haz tu reserva ya!!! Con el 10%",A estrenar,Santa Cruz,avenida G-77 y Beni a la altura del noveno anillo interno_ 5 cuadras próxima carretera a Warnes_ Norte_ Santa Cruz,3.0,2,285.0,1.0,115.0,2.0,67500.0,6.0
959,AB103,Vivienda unifamiliar minimalista 98 m2,En construcción,Santa Cruz,Doble vía la guardia_ km 15_ urb_ cumbre las américas fase 7 _ Oeste_ Santa Cruz,3.0,2,300.0,1.0,98.0,1.0,60000.0,5.0
960,3EE33,Casa a estrenar,A estrenar,Santa Cruz,Sur_ Santa Cruz,3.0,2,360.0,,300.0,,65000.0,
961,B24BC,propietario,Excelente estado,Santa Cruz,Este_ Santa Cruz,3.0,2,388.0,,120.0,,69000.0,
962,B6772,Casa a estrenar,A estrenar,La Paz,Ciudad Satélite_ El alto,5.0,2,240.0,,490.0,,198000.0,
963,152B9,PRE-VENTA Km 8 1/2 Norte av banzer en Urb. cerrada,En construcción,Santa Cruz,Av. Bnazer km 8 1/2 Norte en Urb. cerrada_ Remanso_ Santa Cruz,3.0,2,275.0,1.0,155.0,2.0,95000.0,6.0
964,FB59E,2 CASAS ECONOMICAS EN VENTA,Buen estado,Santa Cruz,URBANIZACION LOS CLAVELES_ Este_ Santa Cruz,3.0,2,360.0,1.0,95.0,2.0,55000.0,10.0
965,B6445,Casa a Estrenar en Tiquipaya Zona Trojes 165000 $U$ OFERTABLE,A estrenar,Cochabamba,Av. Ecologica y Av. Chilimarca _ Tiquipaya_ Cochabamba,4.0,3,300.0,3.0,270.0,3.0,165000.0,5.0
966,I667E5,Av. Banzer Y KM 8 1/2,A estrenar,Santa Cruz,Av. Banzer Y KM 8 1/2_ Remanso_ Santa Cruz,4.0,3,260.0,2.0,200.0,2.0,155000.0,1.0
